registroans;cnpj;razaosocial;nomefantasia;modalidade;logradouro;numero;complemento;bairro;cidade;uf;cep;ddd;telefone;fax;enderecoeletronico;representante;cargorepresentante;dataregistroans
418374;11800000000000; CAIXA DE ASSISTÊNCIA DO SETOR DE ENERGIA -EVIDA -ASSISTÊNCIA À SAÚDE;E-VIDA;Autogestão;SETOR DE HABITAÇÕES COLETIVAS GEMINADAS ;QUADRA 704/705;BLOCO C, LOJA 48;ASA NORTE;Brasília;DF;70730630;61;39668300;39668302;governanca@evida.org.br;ELI PINTO DE MELO JUNIOR;PRESIDENTE;2012-01-12
417734;7530000000000;ABBESS - ASSOCIAÇÃO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL;;Administradora de Benefícios;AV RIO BRANCO;120;PAVIMENTO 4 - SALA 426;CENTRO;Rio de Janeiro;RJ;20040001;21;22704971;;comercial@abbess.com.br;MARCELO BRANDÃO ROCHA;PRESIDENTE E TESOUREIRO;2010-12-20
314668;17500000000000;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAÚDE;Autogestão;AV. BERNARDO MONTEIRO;831;Subsolo, 2º andar e 3º andar;SANTA EFIGÊNIA;Belo Horizonte;MG;30150281;31;32484300;32484377;abertta.ans@arcelormittal.com.br;JOSÉ ANTÔNIO GIMENEZ;PRESIDENTE;1998-12-28
419621;17700000000000;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;AVENIDA JOSÉ DA SILVA NETO;200;BLOCO 4, SALA 403;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056;;;;contato@abplus.com.br;ROBERTO CARLOS MACHADO RODRIGUES;ADMINISTRADOR;2014-11-13
418901;10500000000000;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS EIRELI;AD SALUTE;Administradora de Benefícios;RUA BUENOS AIRES;68;SALA 2901;CENTRO;Rio de Janeiro;RJ;20070020;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;JOÃO CARMO DA SILVEIRA;ADMINISTRADOR;2013-06-13
420671;26100000000000;ADDERE ADMINISTRADORA DE BENEFÍCIOS EIRELI;ADDERE ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;AV. DAS ARAUCÁRIAS;LOTE 1835;1905, 1955 E 2005, 4º PISO, SL 444/445;SUL (ÁGUAS CLARAS) ;Brasília;DF;71936250;61;982537447;;contato@addereadm.com;JULIANA DOS SANTOS GONTIJO;Sócia Administradora;2016-12-13
417556;9040000000000;ADM ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;RUA DOUTOR RUBENS GOMES BUENO;691;17 ANDAR - PARTE;VARZEA DE BAIXO;São Paulo;SP;4730903;11;47005033;34911102;br.juridico@aon.com.br;LEONARDO CARNEIRO MARTINS COELHO;DIRETOR ADJUNTO COMERCIAL;2010-09-21
421553;28300000000000;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.;ADM LIFE;Administradora de Benefícios;AVENIDA PEDROSO DE MORAIS;272;CJ 96;PINHEIROS;São Paulo;SP;5420000;11;34769350;;cristiane@admlife.com.br;NELITO JÚNIOR DE ALMEIDA SILVA;Sócio Administrador;2019-01-09
416932;7870000000000;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA;GÉIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;RUA TRAIPU;125;;PACAEMBU;São Paulo;SP;1235000;11;26917601;38281888;fabio.oliveira@geia.com.br;PEDRO OLIVEIRA OBLIZINER;SÓCIO ADMINISTRADOR;2009-03-30
419168;17300000000000;ADPART M2 ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA;;Medicina de Grupo;RUA DONA ANITA MAYER;139;;BOTAFOGO;Campinas;SP;13020350;19;21029700;;coopus@coopus.com.br;GUSTAVO POLLI ANTONIO;REPRESENTANTE LEGAL;2013-10-22
